Building Address,Under 5 years,Under 5 years,5 to 9 years,5 to 9 years,10 to 14 years,10 to 14 years,15 to 19 years,15 to 19 years,20 to 24 years,20 to 24 years,25 to 34 years,25 to 34 years,35 to 44 years,35 to 44 years,45 to 54 years,45 to 54 years,55 to 59 years,55 to 59 years,60 to 64 years,60 to 64 years,65 to 74 years,65 to 74 years,75 to 84 years,75 to 84 years,85 years and over,85 years and over,Single Senior only,Single Senior only,2+ Seniors only,2+ Seniors only,Single non-senior,Single non-senior,"Couple, no child(ren)","Couple, no child(ren)",2 parents + child(ren) <18,2 parents + child(ren) <18,2 parents + child(ren)>=18,2 parents + child(ren)>=18,Single parent + child(ren)<18,Single parent + child(ren)<18,Single parent + child(ren)>=18,Single parent + child(ren)>=18,Single grandparent + child(ren)<18,Single grandparent + child(ren)<18,Single grandparent + child(ren)>=18,Single grandparent + child(ren)>=18,Other + child(ren)<18,Other + child(ren)<18,"Other, no child(ren)<18","Other, no child(ren)<18",Employment ,Employment ,Own Business,Own Business,Unemployment Insurance,Unemployment Insurance,Public Assistance,Public Assistance,Social Security,Social Security,SSI,SSI,VA Benefits,VA Benefits,Pension,Pension,Child Support,Child Support,Other,Other,Non-Verifiable,Non-Verifiable,Non-Verifiable only,Non-Verifiable only
CORSI HOUSES,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,83,46%,83,46%,13,7%,156,93%,12,7%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,6,4%,0,0%,1,1%,5,3%,120,71%,98,58%,4,2%,19,11%,0,0%,3,2%,2,1%,,0%
CROWN HEIGHTS,19,7%,16,6%,23,9%,24,9%,32,12%,38,14%,33,12%,31,12%,16,6%,13,5%,16,6%,5,2%,3,1%,11,9%,1,1%,18,15%,1,1%,0,0%,1,1%,39,32%,32,27%,3,2%,3,2%,3,2%,8,7%,75,62%,1,1%,8,7%,15,12%,36,30%,23,19%,1,1%,11,9%,3,2%,2,2%,1,1%,,0%
CYPRESS HILLS,199,6%,292,8%,315,9%,409,12%,382,11%,366,11%,352,10%,456,13%,185,5%,165,5%,219,6%,99,3%,38,1%,228,16%,22,2%,229,16%,19,1%,70,5%,32,2%,374,26%,252,18%,79,6%,18,1%,54,4%,50,4%,680,48%,1,0%,81,6%,171,12%,367,26%,430,30%,7,0%,71,5%,32,2%,33,2%,56,4%,27,2%
DAVIDSON,27,5%,45,9%,54,11%,70,14%,62,13%,30,6%,41,8%,48,10%,17,3%,15,3%,36,7%,39,8%,11,2%,56,32%,7,4%,9,5%,2,1%,15,9%,4,2%,36,21%,17,10%,15,9%,5,3%,6,3%,1,1%,66,38%,0,0%,14,8%,16,9%,81,47%,71,41%,0,0%,15,9%,7,4%,6,3%,9,5%,4,2%
DE HOSTOS APARTMENTS,15,3%,41,9%,33,7%,50,10%,41,9%,48,10%,43,9%,51,11%,36,8%,38,8%,40,8%,35,7%,9,2%,48,23%,9,4%,37,17%,5,2%,8,4%,5,2%,34,16%,38,18%,17,8%,1,0%,7,3%,3,1%,97,46%,0,0%,14,7%,20,9%,80,38%,73,34%,2,1%,22,10%,3,1%,3,1%,8,4%,3,1%
DOUGLASS ADDITION,17,5%,28,9%,28,9%,35,11%,32,10%,35,11%,25,8%,36,11%,28,9%,15,5%,23,7%,19,6%,6,2%,32,24%,5,4%,25,19%,4,3%,7,5%,2,2%,28,21%,11,8%,7,5%,0,0%,7,5%,5,4%,61,46%,0,0%,7,5%,16,12%,51,38%,39,29%,0,0%,13,10%,6,5%,2,2%,3,2%,,0%
DOUGLASS I,98,4%,126,5%,204,8%,232,9%,278,11%,258,10%,231,9%,327,12%,193,7%,159,6%,244,9%,187,7%,97,4%,296,23%,53,4%,255,20%,19,1%,37,3%,37,3%,224,18%,202,16%,55,4%,27,2%,18,1%,49,4%,521,41%,0,0%,45,4%,114,9%,496,39%,384,30%,10,1%,151,12%,39,3%,11,1%,28,2%,7,1%
DOUGLASS II,61,4%,83,5%,123,8%,156,10%,166,10%,161,10%,143,9%,210,13%,90,6%,98,6%,149,9%,107,7%,55,3%,149,20%,37,5%,129,18%,12,2%,21,3%,24,3%,130,18%,149,20%,27,4%,18,2%,16,2%,25,3%,328,45%,0,0%,39,5%,62,8%,300,41%,212,29%,5,1%,99,13%,25,3%,6,1%,34,5%,13,2%
DREW-HAMILTON,159,6%,216,8%,247,9%,307,11%,301,11%,299,11%,243,9%,331,12%,166,6%,125,5%,184,7%,120,4%,45,2%,213,18%,16,1%,312,27%,11,1%,23,2%,20,2%,290,25%,135,12%,40,3%,24,2%,42,4%,39,3%,452,39%,0,0%,65,6%,172,15%,426,37%,346,30%,22,2%,98,8%,30,3%,17,1%,33,3%,13,1%
DYCKMAN,98,4%,139,6%,180,8%,184,8%,191,8%,255,11%,221,9%,288,12%,164,7%,186,8%,271,11%,138,6%,60,3%,265,23%,61,5%,166,14%,26,2%,24,2%,35,3%,253,22%,209,18%,29,3%,17,1%,26,2%,46,4%,493,43%,4,0%,62,5%,103,9%,502,43%,343,30%,10,1%,150,13%,33,3%,17,1%,55,5%,23,2%
EAGLE AVENUE-EAST 163RD STREET,5,4%,13,9%,16,12%,13,9%,12,9%,16,12%,18,13%,10,7%,8,6%,10,7%,10,7%,6,4%,0,0%,12,19%,0,0%,14,22%,2,3%,2,3%,1,2%,20,31%,7,11%,2,3%,0,0%,2,3%,2,3%,27,42%,0,0%,4,6%,15,23%,21,33%,20,31%,1,2%,3,5%,1,2%,0,0%,2,3%,2,3%
EAST 152ND STREET-COURTLANDT AVENUE,15,4%,12,3%,20,5%,36,9%,31,8%,31,8%,27,7%,34,9%,17,4%,14,4%,73,18%,66,17%,21,5%,124,56%,12,5%,12,5%,2,1%,2,1%,1,0%,19,9%,25,11%,11,5%,2,1%,7,3%,3,1%,53,24%,0,0%,3,1%,14,6%,114,52%,104,47%,2,1%,23,10%,5,2%,2,1%,3,1%,1,0%
EAST 165TH STREET-BRYANT AVENUE,21,6%,40,11%,47,13%,48,13%,33,9%,50,14%,44,12%,33,9%,22,6%,11,3%,14,4%,5,1%,1,0%,5,5%,0,0%,8,7%,0,0%,7,6%,5,5%,30,27%,21,19%,11,10%,0,0%,19,17%,5,5%,70,63%,2,2%,11,10%,14,13%,34,31%,33,30%,1,1%,4,4%,7,6%,8,7%,1,1%,,0%
EAST 173RD STREET-VYSE AVENUE,20,5%,34,8%,44,10%,44,10%,57,13%,50,12%,46,11%,59,14%,23,5%,22,5%,20,5%,7,2%,3,1%,10,6%,3,2%,22,13%,3,2%,4,2%,6,4%,51,31%,41,25%,9,5%,1,1%,9,5%,7,4%,98,59%,0,0%,7,4%,21,13%,36,22%,49,30%,0,0%,5,3%,7,4%,8,5%,2,1%,,0%
EAST 180TH STREET-MONTEREY AVENUE,34,6%,48,9%,38,7%,45,8%,69,13%,60,11%,51,9%,72,13%,38,7%,26,5%,48,9%,16,3%,5,1%,33,14%,4,2%,41,17%,5,2%,5,2%,8,3%,63,27%,51,22%,10,4%,1,0%,7,3%,8,3%,125,53%,0,0%,4,2%,29,12%,102,43%,81,34%,3,1%,17,7%,21,9%,0,0%,4,2%,1,0%
EAST NEW YORK CITY LINE,16,6%,25,9%,31,11%,34,12%,48,17%,44,15%,27,9%,27,9%,16,6%,6,2%,6,2%,5,2%,3,1%,4,6%,0,0%,2,3%,0,0%,7,11%,2,3%,16,25%,10,15%,10,15%,2,3%,7,11%,5,8%,32,49%,0,0%,8,12%,11,17%,22,34%,21,32%,0,0%,3,5%,1,2%,1,2%,3,5%,1,2%
EAST RIVER,123,5%,198,8%,218,9%,227,9%,214,9%,277,11%,224,9%,306,13%,163,7%,132,5%,199,8%,99,4%,51,2%,228,20%,41,4%,230,20%,26,2%,51,4%,13,1%,281,24%,173,15%,46,4%,10,1%,27,2%,25,2%,478,42%,2,0%,63,5%,134,12%,379,33%,402,35%,5,0%,73,6%,32,3%,41,4%,19,2%,14,1%
EASTCHESTER GARDENS,86,4%,170,8%,201,10%,245,12%,230,11%,217,10%,226,11%,250,12%,97,5%,108,5%,157,7%,77,4%,39,2%,158,18%,27,3%,129,15%,14,2%,29,3%,18,2%,225,26%,163,19%,48,6%,17,2%,22,3%,18,2%,382,44%,0,0%,40,5%,115,13%,304,35%,224,26%,4,0%,96,11%,22,3%,11,1%,31,4%,15,2%
EDENWALD,263,5%,470,9%,552,11%,591,12%,619,12%,537,10%,526,10%,611,12%,253,5%,214,4%,289,6%,140,3%,55,1%,293,15%,38,2%,279,14%,22,1%,64,3%,51,3%,680,34%,363,18%,100,5%,30,1%,54,3%,40,2%,1074,53%,5,0%,109,5%,298,15%,571,28%,634,31%,4,0%,140,7%,104,5%,135,7%,36,2%,10,0%
ELLIOTT,53,4%,85,6%,112,8%,136,10%,131,10%,134,10%,132,10%,186,14%,88,6%,96,7%,127,9%,69,5%,28,2%,92,16%,33,6%,92,16%,15,3%,27,5%,30,5%,107,18%,94,16%,39,7%,11,2%,17,3%,27,5%,277,47%,2,0%,35,6%,64,11%,250,43%,184,32%,1,0%,78,13%,17,3%,41,7%,0,0%,,0%
FARRAGUT,132,4%,218,7%,276,8%,382,12%,353,11%,372,11%,308,9%,425,13%,200,6%,189,6%,271,8%,99,3%,42,1%,243,18%,30,2%,215,16%,18,1%,53,4%,37,3%,300,22%,251,18%,73,5%,28,2%,60,4%,65,5%,648,47%,0,0%,65,5%,143,10%,479,35%,407,30%,12,1%,82,6%,12,1%,51,4%,20,1%,15,1%
FENIMORE-LEFFERTS,1,1%,4,4%,5,5%,13,13%,11,11%,12,12%,9,9%,10,10%,7,7%,6,6%,13,13%,6,6%,4,4%,6,17%,2,6%,0,0%,0,0%,1,3%,8,22%,6,17%,10,28%,2,6%,0,0%,1,3%,0,0%,17,47%,1,3%,2,6%,4,11%,18,50%,12,33%,1,3%,8,22%,1,3%,3,8%,2,6%,,0%
FIRST HOUSES,12,6%,15,8%,12,6%,13,7%,8,4%,19,10%,22,11%,19,10%,11,6%,17,9%,24,12%,15,8%,9,5%,41,33%,6,5%,36,29%,1,1%,1,1%,0,0%,27,21%,6,5%,0,0%,2,2%,1,1%,5,4%,46,37%,0,0%,7,6%,11,9%,50,40%,36,29%,0,0%,4,3%,1,1%,11,9%,1,1%,,0%
FOREST,170,5%,256,8%,301,10%,352,11%,352,11%,324,10%,291,9%,358,11%,174,6%,129,4%,268,8%,143,5%,37,1%,253,19%,42,3%,199,15%,16,1%,43,3%,19,1%,362,27%,254,19%,66,5%,23,2%,33,2%,31,2%,576,43%,0,0%,78,6%,189,14%,423,32%,457,34%,3,0%,81,6%,12,1%,39,3%,30,2%,11,1%
FORT INDEPENDENCE STREET-HEATH AVENUE,39,5%,61,8%,62,8%,73,10%,76,10%,80,11%,74,10%,83,11%,56,7%,42,6%,75,10%,34,4%,2,0%,60,18%,9,3%,54,16%,10,3%,10,3%,11,3%,83,24%,62,18%,22,6%,4,1%,6,2%,8,2%,157,46%,0,0%,20,6%,49,14%,116,34%,121,36%,4,1%,21,6%,6,2%,3,1%,20,6%,4,1%
FULTON,75,3%,111,5%,158,7%,176,8%,215,10%,245,11%,206,9%,327,15%,147,7%,130,6%,206,9%,125,6%,60,3%,183,20%,44,5%,197,21%,31,3%,47,5%,54,6%,121,13%,120,13%,54,6%,18,2%,34,4%,35,4%,448,48%,2,0%,55,6%,80,9%,415,44%,290,31%,2,0%,114,12%,18,2%,19,2%,30,3%,10,1%
GARVEY (GROUP A),37,5%,65,8%,87,11%,95,12%,84,11%,77,10%,74,9%,93,12%,21,3%,24,3%,75,9%,48,6%,16,2%,109,35%,5,2%,19,6%,1,0%,14,4%,5,2%,62,20%,45,14%,23,7%,6,2%,16,5%,9,3%,116,37%,0,0%,15,5%,32,10%,141,45%,91,29%,0,0%,30,10%,2,1%,7,2%,6,2%,4,1%
GLEBE AVENUE-WESTCHESTER AVENUE,0,0%,1,1%,0,0%,1,1%,0,0%,0,0%,2,1%,0,0%,1,1%,5,3%,63,43%,51,35%,23,16%,113,88%,14,11%,0,0%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,0,0%,6,5%,0,0%,1,1%,0,0%,106,82%,50,39%,3,2%,37,29%,0,0%,0,0%,0,0%,,0%
GLENMORE PLAZA,57,7%,53,6%,67,8%,60,7%,70,9%,86,10%,75,9%,101,12%,43,5%,44,5%,89,11%,61,7%,16,2%,105,24%,19,4%,94,22%,5,1%,6,1%,6,1%,113,26%,52,12%,13,3%,4,1%,9,2%,8,2%,180,41%,0,0%,18,4%,55,13%,153,35%,115,26%,1,0%,60,14%,11,3%,14,3%,15,3%,13,3%
GLENWOOD,138,5%,217,8%,240,9%,251,9%,266,10%,324,12%,270,10%,328,12%,143,5%,121,5%,196,7%,109,4%,41,2%,191,16%,34,3%,172,15%,16,1%,25,2%,25,2%,345,29%,216,18%,62,5%,26,2%,29,2%,37,3%,575,49%,0,0%,61,5%,154,13%,384,33%,285,24%,8,1%,114,10%,28,2%,11,1%,70,6%,21,2%
GOMPERS,64,6%,69,6%,92,8%,115,10%,112,10%,114,10%,116,10%,119,10%,76,7%,86,7%,90,8%,76,7%,33,3%,96,20%,26,6%,56,12%,12,3%,40,9%,26,6%,88,19%,64,14%,27,6%,14,3%,10,2%,10,2%,234,50%,0,0%,18,4%,41,9%,204,43%,148,32%,2,0%,49,10%,14,3%,36,8%,18,4%,4,1%
GOWANUS,121,4%,186,7%,219,8%,280,10%,306,11%,311,11%,238,9%,373,14%,156,6%,141,5%,229,8%,118,4%,50,2%,180,16%,38,3%,158,14%,9,1%,58,5%,42,4%,219,20%,212,19%,70,6%,40,4%,53,5%,41,4%,520,46%,0,0%,69,6%,130,12%,392,35%,331,30%,6,1%,105,9%,22,2%,22,2%,23,2%,11,1%
GRANT,211,5%,277,6%,356,8%,453,10%,453,10%,493,11%,395,9%,583,13%,297,7%,231,5%,349,8%,232,5%,113,3%,331,17%,64,3%,277,14%,30,2%,78,4%,50,3%,420,22%,406,21%,110,6%,43,2%,49,3%,56,3%,872,46%,0,0%,102,5%,190,10%,754,39%,542,28%,11,1%,193,10%,61,3%,28,1%,76,4%,29,2%
GRAVESEND,85,6%,123,8%,138,9%,150,10%,169,12%,159,11%,154,11%,169,12%,100,7%,71,5%,76,5%,47,3%,19,1%,94,16%,12,2%,89,15%,5,1%,27,4%,15,2%,166,27%,114,19%,37,6%,3,0%,17,3%,25,4%,271,45%,0,0%,30,5%,89,15%,161,27%,190,31%,1,0%,31,5%,10,2%,16,3%,26,4%,8,1%
GUN HILL,74,5%,110,8%,117,8%,132,9%,132,9%,144,10%,110,8%,171,12%,116,8%,92,6%,141,10%,64,4%,37,3%,153,21%,31,4%,159,22%,14,2%,11,2%,14,2%,173,24%,100,14%,28,4%,10,1%,13,2%,14,2%,280,39%,0,0%,37,5%,79,11%,269,37%,196,27%,0,0%,99,14%,29,4%,15,2%,16,2%,6,1%
HABER,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,0%,3,1%,12,3%,129,29%,221,50%,79,18%,304,81%,64,17%,1,0%,6,2%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,13,3%,0,0%,0,0%,2,1%,115,31%,321,86%,3,1%,31,8%,0,0%,3,1%,2,1%,,0%
HAMMEL,129,7%,167,10%,187,11%,204,12%,191,11%,217,12%,182,10%,197,11%,82,5%,69,4%,83,5%,26,1%,12,1%,72,11%,8,1%,98,15%,4,1%,17,3%,19,3%,218,33%,135,20%,25,4%,8,1%,48,7%,12,2%,304,46%,0,0%,63,9%,125,19%,154,23%,181,27%,5,1%,24,4%,23,3%,8,1%,21,3%,5,1%
HARBORVIEW TERRACE,16,2%,27,4%,30,5%,31,5%,21,3%,49,7%,44,7%,76,12%,25,4%,27,4%,143,22%,130,20%,35,5%,200,53%,28,7%,37,10%,5,1%,11,3%,18,5%,23,6%,27,7%,13,3%,4,1%,5,1%,4,1%,111,30%,0,0%,6,2%,15,4%,234,62%,154,41%,2,1%,72,19%,4,1%,30,8%,3,1%,2,1%
HARLEM RIVER,47,5%,93,9%,86,9%,72,7%,80,8%,137,14%,114,12%,129,13%,63,6%,47,5%,75,8%,28,3%,11,1%,92,18%,11,2%,140,27%,9,2%,3,1%,6,1%,160,31%,57,11%,9,2%,0,0%,13,3%,17,3%,239,46%,0,0%,45,9%,59,11%,156,30%,102,20%,5,1%,39,8%,15,3%,5,1%,17,3%,8,2%
HARLEM RIVER II,20,7%,32,12%,27,10%,15,5%,25,9%,39,14%,22,8%,34,12%,10,4%,10,4%,23,8%,9,3%,10,4%,19,17%,5,4%,13,11%,2,2%,1,1%,5,4%,42,37%,14,12%,4,3%,3,3%,2,2%,5,4%,46,40%,0,0%,10,9%,13,11%,47,41%,37,32%,3,3%,17,15%,2,2%,0,0%,3,3%,2,2%
HARRISON AVENUE REHAB (GROUP A),3,4%,5,7%,5,7%,7,9%,3,4%,9,12%,6,8%,8,11%,10,14%,4,5%,11,15%,2,3%,1,1%,3,9%,4,12%,5,15%,2,6%,2,6%,0,0%,5,15%,6,18%,1,3%,0,0%,3,9%,3,9%,15,44%,0,0%,2,6%,6,18%,12,35%,10,29%,0,0%,3,9%,0,0%,1,3%,2,6%,1,3%
HARRISON AVENUE REHAB (GROUP B),16,5%,35,11%,16,5%,14,4%,21,7%,49,15%,27,8%,36,11%,29,9%,25,8%,38,12%,10,3%,2,1%,27,18%,9,6%,21,14%,6,4%,4,3%,1,1%,30,20%,17,12%,10,7%,2,1%,4,3%,16,11%,64,44%,0,0%,5,3%,12,8%,45,31%,53,36%,1,1%,7,5%,4,3%,0,0%,6,4%,4,3%
HERNANDEZ,5,2%,13,5%,10,4%,18,7%,18,7%,25,9%,19,7%,28,10%,21,8%,23,9%,43,16%,26,10%,18,7%,46,31%,17,11%,30,20%,6,4%,3,2%,5,3%,15,10%,20,14%,2,1%,1,1%,2,1%,1,1%,61,41%,0,0%,6,4%,11,7%,79,53%,49,33%,2,1%,27,18%,2,1%,0,0%,20,14%,,0%
HIGHBRIDGE GARDENS,83,5%,110,7%,160,10%,201,12%,182,11%,163,10%,165,10%,215,13%,88,5%,99,6%,125,7%,63,4%,29,2%,115,17%,14,2%,97,14%,15,2%,29,4%,16,2%,153,22%,137,20%,50,7%,11,2%,28,4%,26,4%,315,46%,0,0%,44,6%,84,12%,236,34%,208,30%,7,1%,50,7%,20,3%,5,1%,18,3%,9,1%
HOE AVENUE-EAST 173RD STREET,9,7%,11,8%,14,11%,9,7%,11,8%,14,11%,12,9%,12,9%,13,10%,8,6%,11,8%,7,5%,1,1%,13,20%,3,5%,18,28%,0,0%,1,2%,1,2%,15,23%,7,11%,1,2%,0,0%,4,6%,2,3%,31,48%,1,2%,4,6%,6,9%,21,32%,17,26%,0,0%,8,12%,1,2%,2,3%,0,0%,,0%
HOLMES TOWERS,43,5%,61,7%,52,6%,52,6%,66,7%,105,11%,68,7%,147,16%,81,9%,60,6%,106,11%,68,7%,22,2%,142,27%,23,4%,144,27%,19,4%,8,2%,10,2%,99,19%,64,12%,12,2%,2,0%,2,0%,7,1%,190,36%,2,0%,23,4%,49,9%,212,40%,159,30%,2,0%,58,11%,9,2%,7,1%,24,5%,11,2%
HOWARD,108,6%,174,9%,205,11%,207,11%,192,10%,250,13%,210,11%,234,12%,88,5%,77,4%,120,6%,43,2%,18,1%,120,15%,11,1%,130,16%,5,1%,25,3%,9,1%,248,31%,132,16%,49,6%,20,2%,32,4%,22,3%,388,48%,0,0%,58,7%,116,14%,237,30%,243,30%,1,0%,54,7%,7,1%,29,4%,12,1%,5,1%
HOWARD AVENUE,21,6%,50,13%,44,12%,41,11%,32,8%,44,12%,48,13%,35,9%,21,6%,16,4%,24,6%,3,1%,1,0%,17,11%,2,1%,16,11%,3,2%,6,4%,6,4%,56,38%,22,15%,9,6%,0,0%,8,5%,3,2%,80,54%,0,0%,8,5%,23,16%,49,33%,30,20%,0,0%,9,6%,0,0%,6,4%,0,0%,,0%
HOWARD AVENUE-PARK PLACE,26,5%,39,8%,47,10%,69,15%,48,10%,74,16%,52,11%,49,10%,27,6%,18,4%,19,4%,3,1%,3,1%,6,4%,1,1%,13,8%,0,0%,5,3%,4,3%,58,37%,38,25%,16,10%,0,0%,5,3%,9,6%,94,61%,0,0%,15,10%,31,20%,47,30%,28,18%,0,0%,5,3%,1,1%,10,6%,0,0%,,0%
HUGHES APARTMENTS,85,6%,150,11%,162,12%,166,12%,153,11%,188,13%,134,10%,149,11%,51,4%,41,3%,68,5%,38,3%,13,1%,65,13%,9,2%,65,13%,6,1%,21,4%,7,1%,179,35%,74,15%,24,5%,12,2%,25,5%,18,4%,239,47%,0,0%,41,8%,88,17%,118,23%,177,35%,3,1%,22,4%,30,6%,6,1%,16,3%,7,1%
HUNTS POINT AVENUE REHAB,21,7%,24,8%,26,8%,41,13%,34,11%,43,14%,33,10%,47,15%,14,4%,14,4%,17,5%,4,1%,0,0%,9,7%,0,0%,19,15%,0,0%,3,2%,2,2%,49,37%,30,23%,6,5%,0,0%,4,3%,9,7%,72,55%,3,2%,3,2%,19,15%,35,27%,44,34%,0,0%,2,2%,3,2%,8,6%,2,2%,2,2%
HYLAN,22,5%,31,7%,35,8%,50,11%,43,9%,47,10%,37,8%,52,11%,25,5%,17,4%,52,11%,31,7%,13,3%,42,20%,12,6%,24,12%,5,2%,1,0%,4,2%,61,29%,37,18%,6,3%,7,3%,5,2%,3,1%,87,42%,0,0%,12,6%,27,13%,91,44%,52,25%,1,0%,42,20%,3,1%,10,5%,8,4%,2,1%
INGERSOLL,210,5%,372,9%,354,9%,387,10%,392,10%,415,10%,436,11%,526,13%,214,5%,229,6%,253,6%,136,3%,41,1%,237,15%,53,3%,234,15%,32,2%,101,6%,39,2%,310,20%,216,14%,50,3%,28,2%,166,11%,103,7%,832,53%,18,1%,114,7%,216,14%,454,29%,391,25%,8,1%,113,7%,47,3%,82,5%,77,5%,17,1%
INTERNATIONAL TOWER,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,1%,2,1%,4,2%,60,37%,59,36%,37,23%,120,85%,18,13%,0,0%,2,1%,0,0%,0,0%,0,0%,1,1%,0,0%,0,0%,0,0%,1,1%,13,9%,0,0%,1,1%,1,1%,105,74%,69,49%,2,1%,38,27%,0,0%,5,4%,0,0%,,0%
ISAACS,58,5%,81,7%,82,7%,70,6%,101,8%,146,12%,106,9%,169,14%,91,7%,88,7%,118,10%,94,8%,34,3%,149,24%,23,4%,144,23%,21,3%,16,3%,20,3%,122,19%,92,15%,13,2%,7,1%,8,1%,14,2%,262,42%,9,1%,37,6%,47,7%,243,39%,190,30%,2,0%,66,10%,13,2%,10,2%,22,3%,10,2%
JACKSON,147,6%,216,9%,265,11%,286,12%,262,11%,253,11%,227,10%,265,11%,85,4%,76,3%,132,6%,82,4%,22,1%,123,14%,23,3%,111,13%,11,1%,34,4%,10,1%,297,35%,125,15%,35,4%,16,2%,46,5%,26,3%,409,48%,0,0%,51,6%,122,14%,236,28%,298,35%,3,0%,34,4%,24,3%,12,1%,33,4%,12,1%
JEFFERSON,191,5%,254,7%,290,8%,359,10%,368,10%,418,12%,333,9%,428,12%,214,6%,166,5%,261,7%,187,5%,58,2%,239,16%,54,4%,206,14%,26,2%,57,4%,34,2%,335,23%,306,21%,97,7%,33,2%,46,3%,47,3%,697,47%,0,0%,64,4%,159,11%,541,37%,487,33%,7,0%,125,8%,66,4%,46,3%,85,6%,34,2%
JOHNSON,138,4%,235,7%,276,9%,339,11%,296,9%,334,11%,313,10%,385,12%,187,6%,163,5%,257,8%,142,5%,76,2%,242,19%,52,4%,163,13%,15,1%,90,7%,46,4%,268,21%,239,19%,65,5%,23,2%,53,4%,35,3%,642,50%,5,0%,84,7%,113,9%,469,36%,364,28%,9,1%,134,10%,36,3%,11,1%,41,3%,17,1%
KING TOWERS,125,4%,202,7%,270,9%,342,11%,320,10%,310,10%,295,10%,387,13%,174,6%,160,5%,247,8%,144,5%,87,3%,286,21%,40,3%,243,18%,14,1%,48,4%,28,2%,292,21%,236,17%,74,5%,38,3%,31,2%,33,2%,563,41%,2,0%,48,4%,167,12%,520,38%,385,28%,10,1%,136,10%,35,3%,24,2%,36,3%,14,1%
KINGSBOROUGH,192,8%,298,12%,223,9%,230,9%,219,9%,323,13%,255,10%,300,12%,118,5%,90,4%,141,6%,76,3%,19,1%,167,15%,23,2%,242,21%,13,1%,28,2%,12,1%,411,36%,139,12%,35,3%,11,1%,29,3%,27,2%,509,45%,0,0%,57,5%,187,16%,324,28%,322,28%,0,0%,65,6%,36,3%,0,0%,43,4%,20,2%
KINGSBOROUGH EXTENSION,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,3,2%,3,2%,84,43%,81,42%,23,12%,166,92%,11,6%,1,1%,2,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,9,5%,0,0%,0,0%,1,1%,151,83%,77,43%,0,0%,49,27%,0,0%,0,0%,1,1%,,0%
LA GUARDIA,79,3%,151,6%,176,7%,221,9%,230,9%,260,10%,216,9%,293,12%,209,8%,186,7%,250,10%,167,7%,90,4%,207,19%,82,8%,139,13%,26,2%,59,5%,72,7%,149,14%,177,16%,61,6%,22,2%,38,4%,46,4%,486,45%,1,0%,57,5%,85,8%,469,44%,351,33%,4,0%,150,14%,12,1%,6,1%,89,8%,16,1%
LA GUARDIA ADDITION,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,1%,2,1%,46,25%,94,51%,40,22%,101,71%,40,28%,1,1%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,3,2%,0,0%,0,0%,0,0%,115,80%,93,65%,0,0%,56,39%,0,0%,1,1%,7,5%,,0%
LAFAYETTE,146,6%,213,9%,237,9%,311,12%,290,12%,283,11%,212,8%,291,12%,135,5%,111,4%,154,6%,84,3%,35,1%,122,14%,28,3%,118,13%,9,1%,59,7%,38,4%,204,23%,135,15%,66,8%,23,3%,40,5%,34,4%,429,49%,3,0%,49,6%,136,16%,299,34%,239,27%,3,0%,90,10%,19,2%,3,0%,29,3%,6,1%
LATIMER GARDENS,29,4%,53,7%,46,6%,67,8%,55,7%,74,9%,84,10%,88,11%,68,8%,68,8%,90,11%,55,7%,32,4%,117,28%,22,5%,72,17%,22,5%,11,3%,10,2%,71,17%,54,13%,16,4%,3,1%,10,2%,13,3%,180,43%,0,0%,25,6%,31,7%,184,44%,131,31%,0,0%,38,9%,11,3%,9,2%,14,3%,1,0%
LEAVITT STREET-34TH AVENUE,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,1,1%,3,3%,28,28%,53,52%,15,15%,63,77%,16,20%,0,0%,3,4%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,7,9%,0,0%,0,0%,1,1%,58,71%,46,56%,0,0%,18,22%,0,0%,1,1%,7,9%,,0%
LEHMAN,78,5%,105,7%,125,9%,163,11%,161,11%,136,9%,135,9%,185,13%,82,6%,78,5%,101,7%,79,5%,41,3%,119,20%,25,4%,93,15%,18,3%,34,6%,16,3%,141,23%,80,13%,32,5%,13,2%,18,3%,21,3%,268,44%,2,0%,30,5%,84,14%,226,37%,187,31%,8,1%,68,11%,19,3%,18,3%,10,2%,6,1%
